UniqueCount	AmbigCount
0	4
0	4
0	5
0	5
0	6
0	4
0	4
0	5
0	5
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	5
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	0
0	0
0	114
0	490
0	307
0	459
0	389
0	448
0	507
0	488
0	375
0	411
0	303
0	342
0	454
0	496
0	251
0	516
0	509
0	422
0	79
0	449
0	242
0	328
0	353
0	152
0	328
0	427
0	449
0	198
0	266
0	281
0	429
0	347
0	365
0	458
0	614
0	389
0	364
0	330
0	139
0	448
0	608
0	515
0	440
0	216
0	448
0	448
0	566
0	232
0	431
0	236
0	99
0	357
0	521
0	237
0	190
0	243
0	238
0	467
0	289
0	409
0	278
0	429
0	413
0	108
0	319
0	516
0	282
0	97
0	245
0	234
0	218
0	457
0	586
0	489
0	479
0	456
0	375
0	222
0	489
0	636
0	270
0	81
0	177
0	549
0	527
0	272
0	452
0	482
0	432
0	401
0	488
0	372
0	273
0	549
0	508
0	128
0	433
0	114
0	130
0	204
0	338
0	500
0	343
0	184
0	101
0	95
0	426
0	380
0	108
0	203
0	137
0	98
0	149
0	393
0	309
0	307
0	442
0	158
0	582
0	174
0	235
0	478
0	256
0	233
0	241
0	535
0	188
0	462
0	581
0	299
0	459
0	490
0	619
0	485
0	311
0	542
0	473
0	488
0	283
0	294
0	263
0	437
0	58
0	194
0	37
0	86
0	272
0	176
0	113
0	135
0	377
0	68
0	142
0	308
0	70
0	109
0	285
0	51
0	162
0	164
0	48
0	114
0	138
0	83
0	321
0	57
0	437
0	343
0	242
0	442
0	62
0	152
0	66
0	194
0	201
0	342
0	316
0	135
0	305
0	289
0	93
0	97
0	29
0	51
0	143
0	405
0	137
0	101
0	335
0	71
0	74
0	76
0	246
0	97
0	312
0	257
0	182
0	270
0	324
0	116
0	144
0	72
0	199
0	127
0	198
0	63
0	165
0	77
0	249
0	248
0	137
0	74
0	33
0	314
0	78
0	470
0	276
0	371
0	221
0	74
0	248
0	85
0	304
0	230
1	56
0	99
0	196
0	144
0	77
0	190
0	46
0	242
0	299
0	106
0	66
0	299
0	219
0	35
0	29
0	52
0	286
0	262
0	373
0	120
0	298
0	68
0	136
0	252
0	221
0	132
0	289
0	276
0	260
0	220
0	201
0	120
0	53
0	175
0	246
0	310
0	224
0	224
0	106
0	408
0	185
0	60
0	156
0	153
0	56
0	12
0	11
0	25
1	182
0	13
0	128
0	30
0	10
0	9
0	15
0	9
0	9
0	121
0	10
0	9
0	123
0	368
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	4
0	1
0	1
0	1
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
8	19
0	60
0	108
0	97
0	1
0	97
0	106
0	97
0	98
0	107
4	1
0	111
0	58
0	97
0	97
0	97
0	7
0	56
0	4
382	58
0	40
0	131
0	105
0	169
0	101
0	106
0	97
0	105
0	106
0	97
0	68
0	139
0	138
0	100
0	99
0	99
0	98
0	78
0	78
1	76
0	64
0	56
0	57
0	57
0	1
1	7
0	8
0	18
0	8
0	7
0	7
0	18
0	4
0	4
0	5
0	4
0	11
0	0
0	0
0	0
0	0
28	92
0	162
7	8
0	14
1	394
1	0
0	0
0	4
0	4
0	7
0	0
0	6
0	4
0	7
0	4
0	6
0	6
0	4
0	4
0	4
0	4
0	4
0	7
0	4
0	6
0	4
0	7
0	5
0	8
0	7
0	7
0	4
0	4
0	6
0	4
0	4
0	4
0	4
0	7
0	7
0	4
0	6
0	4
0	7
0	4
0	4
0	7
0	6
0	7
0	13
0	490
0	470
0	172
0	319
0	618
0	347
0	304
0	351
0	222
0	485
0	259
0	306
0	415
0	421
0	272
0	365
0	542
0	551
0	410
0	497
0	310
0	584
0	470
0	420
0	439
0	190
0	491
0	515
0	340
0	529
0	537
0	232
0	298
0	464
0	364
0	522
0	437
0	428
0	300
0	131
0	479
0	466
0	247
0	329
0	406
0	437
0	182
0	319
0	612
0	307
0	325
0	528
0	464
0	414
0	413
0	249
0	454
0	332
0	454
0	335
0	508
0	469
0	421
0	551
0	290
0	463
0	356
0	391
0	380
0	292
0	317
0	342
0	389
0	386
0	270
0	515
0	402
0	435
0	268
0	435
0	272
0	272
0	412
0	372
0	464
0	462
0	375
0	479
0	441
0	423
0	258
0	531
0	536
0	426
0	482
0	475
0	504
0	588
0	275
0	116
0	387
0	526
0	402
0	290
0	531
0	355
0	430
0	148
0	253
0	271
0	387
0	75
0	488
0	409
0	155
0	401
0	430
0	171
0	342
0	470
0	395
0	415
0	311
0	511
0	271
0	456
0	319
0	557
0	440
0	274
0	350
0	451
0	400
0	270
0	374
0	134
0	447
0	354
0	197
0	434
0	353
0	293
0	383
0	447
0	189
0	417
0	363
0	221
0	349
0	180
0	476
0	298
0	429
0	198
0	469
0	379
0	191
0	525
0	285
0	242
0	526
0	373
0	223
0	376
0	475
0	491
0	281
0	204
0	507
0	521
0	522
0	181
0	369
0	322
0	306
0	480
0	436
0	292
0	489
0	474
0	323
0	348
0	130
0	464
0	471
0	419
0	540
0	165
0	461
0	355
0	184
0	410
0	530
0	359
0	331
0	414
0	328
0	459
0	204
0	115
0	315
0	190
0	526
0	453
0	368
0	333
0	246
0	41
0	62
0	176
0	374
0	358
0	419
0	181
0	162
0	471
0	278
0	460
0	425
0	393
0	353
0	449
0	524
0	357
0	297
0	240
0	410
0	518
0	173
0	334
0	442
0	482
0	408
0	450
0	270
0	390
0	457
0	181
0	351
0	306
0	319
4	392
0	381
0	253
0	372
0	422
0	270
0	492
0	429
0	157
0	245
0	498
